2016/05/03 15:38:24 [crit] 6#6: *1 realpath() "/var/www/champloo/web" failed (2: No such file or directory), client: 172.18.0.1, server: champloo.dev, request: "GET /app_dev.php HTTP/1.1", host: "champloo.dev"
2016/05/03 15:38:24 [error] 6#6: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: champloo.dev, request: "GET /app_dev.php HTTP/1.1", upstream: "fastcgi://172.18.0.5:9000", host: "champloo.dev"
2016/05/03 15:38:24 [error] 6#6: *1 rewrite or internal redirection cycle while internally redirecting to "/app.php", client: 172.18.0.1, server: champloo.dev, request: "GET /favicon.ico HTTP/1.1", host: "champloo.dev"
2016/05/03 15:38:35 [error] 6#6: *3 rewrite or internal redirection cycle while internally redirecting to "/app.php", client: 172.18.0.1, server: champloo.dev, request: "GET /symfony/app_dev.php HTTP/1.1", host: "champloo.dev"
2016/05/03 15:38:35 [error] 6#6: *4 rewrite or internal redirection cycle while internally redirecting to "/app.php", client: 172.18.0.1, server: champloo.dev, request: "GET /favicon.ico HTTP/1.1", host: "champloo.dev"
2016/05/03 15:38:45 [error] 6#6: *5 rewrite or internal redirection cycle while internally redirecting to "/app.php", client: 172.18.0.1, server: champloo.dev, request: "GET /symfony/web/app_dev.php HTTP/1.1", host: "champloo.dev"
2016/05/03 15:38:45 [error] 6#6: *6 rewrite or internal redirection cycle while internally redirecting to "/app.php", client: 172.18.0.1, server: champloo.dev, request: "GET /favicon.ico HTTP/1.1", host: "champloo.dev"
2016/05/03 15:38:48 [error] 6#6: *7 rewrite or internal redirection cycle while internally redirecting to "/app.php", client: 172.18.0.1, server: champloo.dev, request: "GET /symfony/web/app_dev.php HTTP/1.1", host: "champloo.dev"
2016/05/03 15:38:48 [error] 6#6: *8 rewrite or internal redirection cycle while internally redirecting to "/app.php", client: 172.18.0.1, server: champloo.dev, request: "GET /favicon.ico HTTP/1.1", host: "champloo.dev"
2016/05/03 16:18:49 [error] 6#6: *12 connect() failed (113: No route to host) while connecting to upstream, client: 172.18.0.1, server: champloo.dev, request: "GET /app_dev.php HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "champloo.dev"
2016/05/03 16:20:10 [error] 6#6: *14 connect() failed (113: No route to host) while connecting to upstream, client: 172.18.0.1, server: champloo.dev, request: "GET /app_dev.php HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "champloo.dev"
2016/05/08 17:58:29 [error] 7#7: *1 FastCGI sent in stderr: "Unable to open primary script: /var/www/champloo/web/app_dev.php (Permission denied)" while reading response header from upstream, client: 172.18.0.1, server: champloo.dev, request: "GET /app_dev.php/_profiler/cee761?panel=config HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "champloo.dev"
2016/05/08 17:58:39 [error] 7#7: *1 FastCGI sent in stderr: "Unable to open primary script: /var/www/champloo/web/app_dev.php (Permission denied)" while reading response header from upstream, client: 172.18.0.1, server: champloo.dev, request: "GET /app_dev.php/ HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "champloo.dev"
2016/05/08 17:58:42 [error] 7#7: *1 FastCGI sent in stderr: "Unable to open primary script: /var/www/champloo/web/app_dev.php (Permission denied)" while reading response header from upstream, client: 172.18.0.1, server: champloo.dev, request: "GET /app_dev.php/ HTTP/1.1", upstream: "fastcgi://172.18.0.4:9000", host: "champloo.dev"
2016/05/21 15:14:45 [crit] 6#6: *45 realpath() "/var/www/champloo/web" failed (2: No such file or directory), client: 172.18.0.1, server: champloo.dev, request: "GET /config.php/ HTTP/1.1", host: "champloo.dev"
2016/05/21 15:14:45 [error] 6#6: *45 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: champloo.dev, request: "GET /config.php/ HTTP/1.1", upstream: "fastcgi://172.18.0.2:9000", host: "champloo.dev"
2016/05/21 15:14:54 [crit] 6#6: *45 realpath() "/var/www/champloo/web" failed (2: No such file or directory), client: 172.18.0.1, server: champloo.dev, request: "GET /app_dev.php HTTP/1.1", host: "champloo.dev"
2016/05/21 15:14:54 [error] 6#6: *45 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: champloo.dev, request: "GET /app_dev.php HTTP/1.1", upstream: "fastcgi://172.18.0.2:9000", host: "champloo.dev"
2016/05/22 17:21:30 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.18.0.1, server: champloo.dev, request: "GET /phpmyadmin HTTP/1.1", upstream: "http://127.0.0.1:8080/phpmyadmin", host: "champloo.dev"
2016/05/22 17:22:10 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.18.0.1, server: champloo.dev, request: "GET /phpmyadmin HTTP/1.1", upstream: "http://127.0.0.1:8080/phpmyadmin", host: "champloo.dev"
2016/05/22 17:22:11 [error] 6#6: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.18.0.1, server: champloo.dev, request: "GET /phpmyadmin HTTP/1.1", upstream: "http://127.0.0.1:8080/phpmyadmin", host: "champloo.dev"
2016/06/17 17:03:33 [error] 7#7: *2 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 09:20:30 [error] 7#7: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 10:22:40 [error] 7#7: *62 directory index of "/var/www/fredography/" is forbidden, client: 172.18.0.1, server: fredography.dev, request: "GET / HTTP/1.1", host: "fredography.dev"
2016/06/18 10:23:02 [error] 7#7: *62 directory index of "/var/www/fredography/" is forbidden, client: 172.18.0.1, server: fredography.dev, request: "GET / HTTP/1.1", host: "fredography.dev"
2016/06/18 10:23:19 [error] 7#7: *2 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/js/bootstrap.min.js HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 10:23:19 [error] 7#7: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/css/main.css HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 10:23:19 [error] 7#7: *3 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/css/bootstrap.min.css HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 15:55:36 [error] 7#7: *11 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/css/bootstrap.min.css HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 15:55:36 [error] 7#7: *10 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/js/bootstrap.min.js HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 15:55:36 [error] 7#7: *8 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/css/main.css HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 15:55:37 [error] 7#7: *8 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/js/bootstrap.min.js HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 15:55:37 [error] 7#7: *11 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/css/bootstrap.min.css HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 15:55:37 [error] 7#7: *10 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/css/main.css HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 15:56:28 [error] 7#7: *10 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/js/bootstrap.min.js HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 15:56:28 [error] 7#7: *11 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/css/bootstrap.min.css HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 15:56:28 [error] 7#7: *15 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/css/main.css HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
2016/06/18 15:56:29 [error] 7#7: *15 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: fredography.dev, request: "GET /public/js/bootstrap.min.js HTTP/1.1", upstream: "fastcgi://172.18.0.7:9000", host: "fredography.dev", referrer: "http://fredography.dev/"
